vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
Car,False,1,zebulon,GA,houston,TX,789.4736842105264,300.0,0.38,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,luthersville,GA,houston,TX,757.5757575757575,250.0,0.33,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,2000.0,1000.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,2000.0,1000.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,2000.0,1000.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,pensacola,FL,lehi,UT,1875.0,900.0,0.48,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,crestview,FL,bountiful,UT,2093.0232558139537,900.0,0.42999999999999994,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,2000.0,1000.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,2000.0,1000.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,pensacola,FL,lehi,UT,1875.0,900.0,0.48,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,crestview,FL,bountiful,UT,2093.0232558139537,900.0,0.42999999999999994,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,1900.0,741.0,0.39,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,2000.0,1000.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,2000.0,1000.0,0.5,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,pensacola,FL,lehi,UT,1875.0,900.0,0.48,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,crestview,FL,bountiful,UT,2093.0232558139537,900.0,0.42999999999999994,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mobile,AL,salt lake city,UT,1900.0,741.0,0.39,0,0,0,0,0,1,0,0,0,0,0
Pickup,False,1,athens,AL,kent,WA,2500.0,1450.0,0.58,0,0,0,0,0,0,1,0,0,0,0
Car,False,1,mount juliet,TN,auburn,WA,2439.0243902439024,1000.0,0.41000000000000003,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,mount juliet,TN,fife,WA,2435.897435897436,950.0,0.38999999999999996,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,mount juliet,TN,burien,WA,2500.0,925.0,0.37,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,mount juliet,TN,seattle,WA,2432.4324324324325,900.0,0.37,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tuscaloosa,AL,bremerton,WA,2625.0,1050.0,0.4,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,birmingham,AL,olympia,WA,2702.702702702703,1000.0,0.37,0,0,0,1,0,0,0,0,0,0,0
Sedan Small,False,1,birmingham,AL,camano island,WA,2708.3333333333335,975.0,0.36,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,birmingham,AL,portland,OR,2573.529411764706,875.0,0.34,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,villa rica,GA,kent,WA,2727.272727272727,900.0,0.33,0,0,0,0,0,1,0,0,0,0,0
Car,True,1,moss point,MS,covington,WA,2702.702702702703,1000.0,0.37,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,hattiesburg,MS,burien,WA,2638.888888888889,950.0,0.36,0,0,0,1,0,0,0,0,0,0,0
